mean_loss,epsilon
1.26958560944,0.974679400001
1.89993369579,0.974664100001
1.48895978928,0.974545300001
1.49256634712,0.974416600001
1.40033876896,0.974281600001
1.96519052982,0.974145700001
1.93481588364,0.974032300001
1.66082823277,0.973884700001
1.30754005909,0.973741600001
1.5334802866,0.973577800001
1.63231360912,0.973449100001
1.27083718777,0.973363600001
1.41365647316,0.973302400001
1.49237346649,0.973251100001
1.4858070612,0.973125100001
1.54048120975,0.973006300001
1.46749353409,0.972877600001
1.5823725462,0.972757000001
1.61744725704,0.972592300001
1.73525249958,0.972478000001
1.90001893044,0.972431200001
1.97421264648,0.972317800001
1.72298622131,0.972223300001
1.93328654766,0.972085600001
1.89455986023,0.971969500001
1.95674180984,0.971913700001
1.89952671528,0.971838100001
1.39651751518,0.971784100001
1.70608305931,0.971665300001
2.04937148094,0.971487100001
1.77521896362,0.971356600001
1.93777883053,0.971223400001
1.8898473978,0.971044300001
1.90462517738,0.970909300001
2.32935237885,0.970843600001
1.50322151184,0.970757200001
1.68450820446,0.970667200001
1.71630775928,0.970545700001
1.70265519619,0.970410700001
1.83249258995,0.970246900001
1.76885712147,0.970152400001
1.71978342533,0.970076800001
1.65396249294,0.969934600001
1.77808701992,0.969772600001
1.86479711533,0.969643900001
2.11593651772,0.969508900001
1.68141102791,0.969387400001
1.85185158253,0.969268600001
2.10617756844,0.969140800001
1.8899730444,0.969004900001
1.82422506809,0.968875300001
1.77009510994,0.968789800001
1.65670049191,0.968714200001
1.75290632248,0.968557600001
1.92543268204,0.968414500001
2.55549001694,0.968252500001
1.96307992935,0.968158000001
1.52419507504,0.968053600001
1.60460078716,0.967924900001
20.5288772583,0.967777300001
1.70891749859,0.967649500001
1.92940592766,0.967526200001
1.55235493183,0.967486600001
1.82976722717,0.967371400001
1.69922935963,0.967156300001
1.65556502342,0.967021300001
1.80369436741,0.966878200001
1.68854928017,0.966762100001
2.25958418846,0.966634300001
1.6626200676,0.966476800001
1.80979382992,0.966356200001
1.78495502472,0.966227500001
1.89822006226,0.966113200001
1.7867449522,0.965999800001
1.90601837635,0.965835100001
1.82285118103,0.965702800001
1.70561015606,0.965539000001
1.88005065918,0.965410300001
1.65571200848,0.965224900001
1.79014360905,0.965022400001
1.63257837296,0.964742500001
1.63784003258,0.964629100001
1.66722631454,0.964514800001
1.62146770954,0.964333000001
1.59186148643,0.964205200001
1.66110670567,0.964033300001
1.86925184727,0.963975700001
1.3863093853,0.963861400001
1.85088670254,0.963732700001
1.70361232758,0.963424900001
2.05390238762,0.963260200001
2.16137552261,0.963088300001
1.92657697201,0.962916400001
2.54941749573,0.962866000001
1.8836325407,0.962767900001
1.74006485939,0.962603200001
1.94190680981,0.962432200001
1.85505914688,0.962289100001
1.80736231804,0.962259400001
1.81706571579,0.962096500001
1.50151276588,0.961947100001
1.71416831017,0.961804000001
1.72071874142,0.961633000001
1.97942841053,0.961524100001
2.15897727013,0.961470100001
1.71652686596,0.961319800001
1.67884790897,0.961177600001
2.17768001556,0.961017400001
1.70039892197,0.960868000001
1.92323875427,0.960724900001
1.47718572617,0.960667300001
1.65245640278,0.960491800001
1.73645484447,0.960348700001
1.81540322304,0.960199300001
1.68166089058,0.960070600001
2.13121724129,0.959951800001
1.99054038525,0.959808700001
1.87053418159,0.959659300001
1.72099673748,0.959557600001
1.95590472221,0.959398300001
1.85754776001,0.959332600001
1.67697632313,0.959242600001
24.3727798462,0.959085100001
1.72656607628,0.958941100001
1.56316506863,0.958918600001
1.64503216743,0.958785400001
1.71872317791,0.958657600001
1.84626245499,0.958492900001
1.71837568283,0.958434400001
1.64748895168,0.958301200001
1.92805719376,0.958173400001
1.71839547157,0.958024000001
1.51804482937,0.957895300001
1.7338244915,0.957865600001
1.70609033108,0.957752200001
1.60630202293,0.957622600001
1.54387867451,0.957486700001
1.88240551949,0.957358900001
1.76749634743,0.957230200001
1.34758019447,0.957173500001
1.61201643944,0.957069100001
1.98585104942,0.956912500001
1.8066290617,0.956755000001
1.68118166924,0.956611000001
1.64970326424,0.956447200001
1.64666330814,0.956268100001
1.4188169241,0.956160100001
1.58354866505,0.956074600001
1.57546162605,0.956013400001
1.6652623415,0.955878400001
1.73562288284,0.955692100001
1.6692237854,0.955531000001
1.68265962601,0.955367200001
3.48954796791,0.955202500001
1.59300541878,0.955074700001
1.52075433731,0.954896500001
1.63692378998,0.954775900001
1.57891559601,0.954553600001
1.76724219322,0.954404200002
2.25258350372,0.954287200002
2.55715060234,0.954136900002
2.33704662323,0.953994700002
2.18530964851,0.953822800002
2.25984573364,0.953674300002
2.22948169708,0.953560000002
2.39778804779,0.953410600002
2.32284402847,0.953274700002
2.22522425652,0.953123500002
2.23402619362,0.952937200002
2.17897701263,0.952878700002
1.73442256451,0.952851700002
2.10866785049,0.952634800002
2.13835930824,0.952449400002
2.14502334595,0.952263100002
2.41325497627,0.952227100002
2.10954284668,0.952036300002
2.11325240135,0.951922900002
1.8747164011,0.951808600002
2.0387430191,0.951743800002
2.09843277931,0.951611500002
2.00109529495,0.951468400002
2.24137377739,0.951355000002
1.80274224281,0.951211900002
1.89444196224,0.951095800002
2.29397273064,0.950945500002
2.04475283623,0.950810500002
1.93049609661,0.950689000002
1.86416554451,0.950573800002
1.8846322298,0.950445100002
1.86505711079,0.950302900002
1.71117258072,0.950237200002
2.1522796154,0.950091400002
1.99930310249,0.949962700002
2.0933611393,0.949791700002
2.19498562813,0.949641400002
1.93136489391,0.949483900002
2.05098104477,0.949356100002
43.2223091125,0.949241800002
1.87568628788,0.949085200002
41.0307006836,0.948965500002
2.04069137573,0.948815200002
2.02181553841,0.948701800002
1.86788713932,0.948551500002
1.90437078476,0.948434500002
2.00435113907,0.948241900002
1.99999642372,0.948084400002
1.91132390499,0.947963800002
2.08092355728,0.947881000002
1.92263448238,0.947791000002
1.95193088055,0.947677600002
1.92760717869,0.947520100002
1.98085558414,0.947385100002
1.69449985027,0.947250100002
2.11209702492,0.947128600002
1.84444630146,0.946979200002
1.96781587601,0.946846900002
1.79929745197,0.946697500002
1.8289167881,0.946561600002
1.83779144287,0.946438300002
1.93609881401,0.946318600002
1.83153176308,0.946154800002
