mean_loss,epsilon
1.77662217617,0.9928009
1.5992732048,0.9927334
1.68407034874,0.9926857
1.49800539017,0.9926209
1.97130703926,0.9925642
1.74254703522,0.9924796
1.61875557899,0.9924175
1.6447365284,0.9923662
1.66036128998,0.9923293
1.89340555668,0.9921781
1.32536435127,0.9921106
1.85487020016,0.9919333
2.00114798546,0.9918631
1.75288665295,0.9918118
1.99906790257,0.9917488
1.74199068546,0.991675
1.31441760063,0.9916363
1.71887516975,0.9915895
1.31989300251,0.9915076
1.86402845383,0.9914077
1.59047579765,0.9913123
1.8339561224,0.9911557
2.12427783012,0.9910918
1.83117806911,0.9909892
1.45247817039,0.9909073
1.57694852352,0.9908632
1.59822773933,0.990811
1.50207793713,0.9907138
1.79696881771,0.9905572
1.98862206936,0.9905068
1.47832226753,0.990397
1.24760663509,0.9903592
1.66976511478,0.9903142
1.64344716072,0.9901243
1.54215872288,0.9900631
1.49005305767,0.9899938
1.31618225574,0.9899335
1.04808437824,0.9898894
1.58117973804,0.9898381
1.18183100224,0.9897463
2.00358390808,0.9896095
1.11435067654,0.98956
1.7486436367,0.9894619
1.42095673084,0.9894061
1.73015403748,0.9893485
1.68606734276,0.9892711
1.2909219265,0.9891964
1.43007194996,0.9891541
1.61950659752,0.9890164
1.74820065498,0.9889327
1.72679507732,0.9888877
1.88369083405,0.9888274
1.91561973095,0.9887815
1.42218732834,0.9887212
1.60689032078,0.9886537
1.25614500046,0.9885835
1.64039075375,0.9885124
1.65751981735,0.9884467
1.40278375149,0.9883945
1.75975382328,0.988336
1.66137564182,0.9882721
1.89129161835,0.9882127
2.14462399483,0.9881596
17.7544250488,0.9880939
1.45768213272,0.9880237
1.3121689558,0.9879742
1.50649929047,0.9879031
1.30255365372,0.9878428
1.70823085308,0.9877951
1.82201206684,0.9877177
1.70042073727,0.9876727
2.01311063766,0.987616
1.85025680065,0.9875215
1.52645385265,0.9874189
1.74529314041,0.9873712
1.67192053795,0.9872956
1.41517090797,0.987238
1.48884963989,0.9871804
1.89529240131,0.9871192
1.46650993824,0.9870463
1.23322272301,0.9869914
1.73451685905,0.9868834
1.54898941517,0.9867916
1.25633513927,0.9867196
1.29432678223,0.9866566
1.54403710365,0.9865873
2.19925475121,0.9865387
1.70441854,0.9864757
1.68918406963,0.9864145
1.74263250828,0.9863605
1.17127656937,0.9862804
1.60910391808,0.98623
1.38062214851,0.9861805
1.18789315224,0.986122
1.46988427639,0.9860446
1.42555463314,0.985987
1.2218837738,0.9859159
1.5129134655,0.9858664
1.66735112667,0.9857827
1.44566607475,0.9857125
1.56814265251,0.985663
1.47026312351,0.9856063
2.06143712997,0.9854749
2.14453887939,0.9854146
1.86672389507,0.9853597
1.40782058239,0.9852985
1.48000907898,0.9852031
1.33205354214,0.9851041
1.31025087833,0.9850357
1.32387161255,0.9849763
1.24665045738,0.9849232
1.45290625095,0.9848548
1.74820923805,0.984795400001
1.42298007011,0.984723400001
1.04909956455,0.984603700001
1.41771221161,0.984525400001
1.64664125443,0.984415600001
1.84621477127,0.984316600001
1.42562460899,0.984274300001
1.25772821903,0.984203200001
1.5539522171,0.984132100001
1.14216375351,0.984084400001
1.66529762745,0.984019600001
1.55197834969,0.983942200001
1.68465971947,0.983894500001
1.39875483513,0.983836900001
1.30228805542,0.983764900001
2.04195308685,0.983712700001
2.00622010231,0.983656000001
1.32016026974,0.983512900001
1.62153947353,0.983311300001
1.61900436878,0.983254600001
1.31841385365,0.983098000001
1.84249138832,0.983043100001
1.44024538994,0.982992700001
1.22418558598,0.982932400001
1.17521476746,0.982865800001
1.52334666252,0.982801900001
1.49911475182,0.982738000001
1.25971484184,0.982686700001
1.92989373207,0.982618300001
1.20697677135,0.982553500001
1.53019011021,0.982406800001
1.29538905621,0.982334800001
1.58895528316,0.982266400001
1.43238127232,0.982201600001
1.07688093185,0.982152100001
1.65992176533,0.982068400001
1.59641849995,0.982011700001
1.47022008896,0.981962200001
1.58512163162,0.981901000001
1.75795507431,0.981840700001
1.94205772877,0.981788500001
1.74280810356,0.981725500001
1.57808566093,0.981665200001
1.30777204037,0.981613000001
1.33244383335,0.981522100001
1.78747868538,0.981464500001
1.97103881836,0.981395200001
1.36923182011,0.981323200001
1.52701687813,0.981264700001
1.63086485863,0.981211600001
1.51664304733,0.981128800001
1.37378108501,0.981091000001
1.70101034641,0.981003700001
1.67643165588,0.980805700001
1.43615102768,0.980729200001
2.02880620956,0.980673400001
1.85955834389,0.980573500001
1.4517480135,0.980524900001
1.63562107086,0.980433100001
1.77079105377,0.980247700001
1.10854935646,0.980183800001
10.660993576,0.980056000001
1.80019986629,0.979975900001
1.48066139221,0.979929100001
1.35674929619,0.979880500001
2.19056820869,0.979813000001
1.98602998257,0.979756300001
2.04785704613,0.979705000001
1.99936676025,0.979576300001
1.31351184845,0.979507900001
1.24037587643,0.979454800001
2.18541526794,0.979389100001
1.79335296154,0.979332400001
1.23009562492,0.979258600001
1.75738739967,0.979193800001
1.7004352808,0.979143400001
1.62186813354,0.979107400001
1.67590999603,0.979048900001
1.68976461887,0.978985000001
1.38510739803,0.978930100001
1.6885035038,0.978862600001
1.62460780144,0.978800500001
1.859588027,0.978744700001
1.42158281803,0.978665500001
1.00506103039,0.978608800001
1.4694507122,0.978535900001
1.62124705315,0.978454900001
1.83771395683,0.978406300001
1.64648473263,0.978344200001
1.5864366293,0.978278500001
1.81101882458,0.978213700001
1.4865475893,0.978163300001
1.67309653759,0.978093100001
1.35335624218,0.978035500001
